Day,Start Time,End Time,Course title,Room,Instructor,Actual Class Duration
M,3:5 PM,4:20 PM,Introduction to Reinforcement,LG26,Mohammad Shaikh,75
M,4:35 PM,5:50 PM,OOP & Design Methodologies,LG26,Nadia Nasir,75
M,8:30 AM,9:45 AM,Capstone (Kaavish) II,LG-C025,Waqar Saleem,75
M,8:30 AM,10:10 AM,Illustration and Protest,LG-C025,Isma Hasan,100
M,10:0 AM,11:15 AM,Operations Management,LG-C025,Muhammad Wamiq,75
M,11:30 AM,12:45 PM,Social Theory I,LG-C025,Ana Tawfiq Hussain,75
M,1:0 PM,2:40 PM,Quantitative Research Methods,LG-C025,Zaineb Aftab Hussain Makati,100
T,8:30 AM,11:20 AM,Cinematography in Pak Cinema,FF-W242,Syed Ali,170
T,8:30 AM,10:10 AM,Let's Get Talking,FF-W242,Haya Fatima Iqbal,100
T,10:0 AM,11:15 AM,Data Structures & Algorithms,FF-W242,Mohammad Salman,75
T,11:35 AM,12:50 PM,Discrete Mathematics,FF-W242,Huma abid,75
T,1:5 PM,3:35 PM,"Engineering, Design, & Innov.",FF-W242,Muhammad Umer Tariq,150
T,3:50 PM,5:30 PM,Conceptual Genealogies,FF-W242,Marcelo Alves de Paula Lima,100
T,8:30 AM,9:45 AM,Wireless and Mobile Comm.,GF-E101,Tariq Mumtaz,75
T,10:0 AM,11:40 AM,Conceptual Genealogies,GF-E101,Marcelo Alves de Paula Lima,100
T,11:55 AM,1:10 PM,Reading the Partition,GF-E101,Inam Ullah,75
T,1:25 PM,2:40 PM,Calculus II,GF-E101,Muhammad Sami Siddiqui,75
T,2:55 PM,4:10 PM,Philosophical Hermeneutics,GF-E101,Irfan Muhammad,75
T,8:30 AM,9:45 AM,After Digital: The Creative In,SFCL,Abdul Rafay Mahmood,75
T,10:0 AM,11:15 AM,What is Modernity?,SFCL,Haniya Habib,75
T,12:35 PM,1:50 PM,Mechanics & Thermodynamics,SFCL,Syed Muntazir Mehdi Abidi,75
T,2:5 PM,5:25 PM,Design Your Habib Experience,SFCL,Sameena Shahzaman,200
T,8:30 AM,9:45 AM,Data Structures & Algorithms,E-012,Muhammad Mobeen Movania,75
T,10:0 AM,1:45 PM,Performing Narrative,E-012,Muneera Batool,225
T,3:5 PM,4:20 PM,Intro to Punjabi Sufi Lit,E-012,Naila Pervaiz,75
T,4:35 PM,5:50 PM,Calculus II,E-012,Aatyka Fatima,75
T,8:30 AM,9:45 AM,Computer Architecture,W-121,Sorath Hansrajani,75
T,8:30 AM,10:10 AM,Data Analytics,W-121,Sahaab Bader Sheikh,100
T,10:0 AM,11:15 AM,Interactive Storytelling,W-121,Christie Lauder,75
T,11:30 AM,12:45 PM,What is Modernity?,W-121,Marcelo Alves de Paula Lima,75
T,1:0 PM,2:15 PM,Hikma I,W-121,Nauman Naqvi,75
T,2:30 PM,3:45 PM,History of SA music,W-121,Daniyal Ahmed,75
T,4:0 PM,5:15 PM,Mechanics & Thermodynamics,W-121,Syed Muntazir Mehdi Abidi,75
T,8:30 AM,9:45 AM,Elements of Aesthetics 1,FF-E220,Sheikh Taha Ahmed Munir,75
T,10:0 AM,11:15 AM,Hikma I,FF-E220,Zainab Saleem,75
T,11:55 AM,1:10 PM,Calculus I,FF-E220,Sara Ashraf,75
T,4:25 PM,5:40 PM,Calculus II,FF-E220,Sajal Rana,75
T,8:30 AM,9:45 AM,Algorithms: Design & Analysis,GF-E121,Waqar Saleem,75
T,10:0 AM,10:50 AM,Discrete Mathematics,GF-E121,Muhammad Munawwar Anwar,50
T,11:5 AM,11:55 AM,Intro to Probability & Stats,GF-E121,Muhammad Umer Tariq,50
T,12:10 PM,1:50 PM,Heidegger,GF-E121,Najeeb Jan,100
T,2:5 PM,3:20 PM,Calculus I,GF-E121,Sara Ashraf,75
T,3:35 PM,5:15 PM,Quantitative Research Methods,GF-E121,Zaineb Aftab Hussain Makati,100
T,8:30 AM,10:10 AM,Public Intellectuals,FF-W243,Muhammad Haris,100
T,8:30 AM,9:45 AM,Social Theory I,FF-W243,Coline Ferrant,75
T,10:25 AM,12:5 PM,Quantitative Research Methods,FF-W243,Zaineb Aftab Hussain Makati,100
T,8:30 AM,9:45 AM,What is Modernity?,W-234,Muzammil Patel,75
T,8:30 AM,9:45 AM,Scientific Methods,W-234,Hassaan Furqan Khan,75
T,10:0 AM,11:15 AM,What is Modernity?,W-234,Muhammad Salman,75
T,11:30 AM,12:45 PM,Hikma I,W-234,Noman Baig,75
T,1:0 PM,2:15 PM,Intro to Probability & Stats,W-234,Muhammad Umer Tariq,75
T,2:30 PM,4:10 PM,World Historical Figures,W-234,Marcelo Alves de Paula Lima,100
T,4:25 PM,5:40 PM,Philosophical Hermeneutics,W-234,Irfan Muhammad,75
T,8:30 AM,9:45 AM,What is Modernity?,E-010,Abdullah Mirza,75
T,8:30 AM,9:45 AM,Data Structures & Algorithms,E-010,Faiza Azhar,75
T,10:0 AM,11:15 AM,Hikma I,E-010,Noman Baig,75
T,11:30 AM,12:45 PM,Web and Mobile Development,E-010,Muhammad Qasim Pasta,75
T,1:0 PM,2:15 PM,Discrete Mathematics,E-010,Rameez Ragheb,75
T,2:30 PM,3:45 PM,What is Power?,E-010,Najeeb Jan,75
T,4:0 PM,5:40 PM,Intro to Probability & Stats,E-010,Muhammad Umer Tariq,100
T,8:30 AM,9:45 AM,Introduction to Bioinformatics,C-015,Arshan Nasir,75
T,10:0 AM,12:30 PM,Intro to Design and Media,C-015,Rakhshaan Qazi,150
T,12:45 PM,2:0 PM,Social Theory I,C-015,Ana Tawfiq Hussain,75
T,2:40 PM,3:55 PM,What is Modernity?,C-015,Nauman Naqvi,75
T,4:10 PM,5:25 PM,What is Modernity?,C-015,Nimra Farooq,75
T,8:30 AM,9:45 AM,Hikma I,GF-C109,Nauman Naqvi,75
T,10:0 AM,11:15 AM,Calculus II,GF-C109,Yousuf Kerai,75
T,11:30 AM,12:45 PM,Calculus II,GF-C109,Muhammad Sami Siddiqui,75
