Day,Start Time,End Time,Program,Course code,Course title,Class nbr,Section,Room,Instructor,Actual Class Duration
Monday,8:30,09:45,ISCIM,MATH 102,Calculus II,1223,L6,W-110,Muhammad Sami Siddiqui,75
Monday,13:00,14:15,ISCIM,MATH 102,Calculus II,1224,L7,CPE HALL,Aatyka Fatima,75
Wednesday,13:25,14:40,ISCIM,MATH 102,Calculus II,1224,L7,FF-W242,Aatyka Fatima,75
Monday,16:05,17:20,ISCIM,MATH 205,Linear Algebra,1225,L1,FF-W244,Sajal Rana,75
Tuesday,10:00,11:15,ISCIM,MATH 205,Linear Algebra,1225,L1,LG-C001,Sajal Rana,75
Wednesday,11:30,12:45,ISCIM,MATH 205,Linear Algebra,1226,L2,FF-C200,Aeyaz Jamil Kayani,75
Thursday,11:30,12:45,ISCIM,MATH 205,Linear Algebra,1226,L2,E-215,Aeyaz Jamil Kayani,75
Wednesday,13:30,14:45,ISCIM,MATH 305,Complex Analysis,1227,L1,E-003,Sajal Rana,75
Tuesday,13:00,14:15,ISCIM,MATH 305,Complex Analysis,1227,L1,SFCL,Sajal Rana,75
Monday,11:30,12:45,ISCIM,MATH/MUS 106/226,Music and Mathematics,1228,L1,E-003,Yousuf Kerai,75
Friday,13:00,14:15,ISCIM,MATH/MUS 106/226,Music and Mathematics,1228,L1,LG-C025,Yousuf Kerai,75
Thursday,15:10,16:25,ECE,ME 432,Introduction to Nanotechnology,1229,L1,PG-1,Ahmad Usman,75
Tuesday,16:10,17:25,ECE,ME 432,Introduction to Nanotechnology,1229,L1,GF-C109,Ahmad Usman,75
Wednesday,10:00,11:15,ECE,MGMT 301,Tech. Mgmnt & Entrepreneurship,1230,L1,E-215,Abid Butt,75
Friday,11:35,12:50,ECE,MGMT 301,Tech. Mgmnt & Entrepreneurship,1230,L1,FF-W242,Abid Butt,75
Monday,15:35,16:50,ECE,MGMT 320,Principles of Management,1231,L1,E-011,Muhammad Wamiq,75
Wednesday,10:00,11:15,ECE,MGMT 320,Principles of Management,1231,L1,W-114,Muhammad Wamiq,75
Monday,13:00,14:15,ECE,MGMT 321,Engineering Project Management,1232,L1,E-003,Muhammad Wamiq,75
Thursday,13:00,14:15,ECE,MGMT 321,Engineering Project Management,1232,L1,GF-C109,Muhammad Wamiq,75
Wednesday,14:30,15:45,ECE,MGMT 322,Operations Management,1233,L1,FF-E220,Muhammad Wamiq,75
Monday,11:30,12:45,ECE,MGMT 322,Operations Management,1233,L1,FF-W242,Muhammad Wamiq,75
Monday,12:45,14:25,CH,MUS 225,Ghazal Gayeki,1234,J1,W-111,Shahid Hamid,100
Tuesday,8:30,10:10,CH,MUS 225,Ghazal Gayeki,1234,J1,W-110,Shahid Hamid,100
Tuesday,15:10,16:25,CH,MUS/HIS 221/253,History of SA music,1235,L1,FF-W244,Daniyal Ahmed,75
Friday,8:30,09:45,CH,MUS/HIS 221/253,History of SA music,1235,L1,FF-W244,Daniyal Ahmed,75
